01:00:00,62,36,25.0,12
01:00:34,33,45,29.0,24
01:01:08,13,42,23.0,4
01:01:42,3,5,15.0,12
01:02:17,27,25,17.0,12
01:02:51,12,25,23.0,6
01:03:25,44,2,10.0,13
01:03:59,65,42,11.0,4
01:04:34,40,41,14.0,4
01:05:08,8,45,14.0,12
01:05:42,38,24,12.0,4
01:06:17,3,41,11.0,33
01:06:51,50,30,12.0,5
01:07:25,62,46,10.0,29
01:07:59,15,27,7.0,15
01:08:34,7,20,9.0,15
01:09:08,40,10,5.0,28
01:09:42,64,39,7.0,26
01:10:17,14,7,7.0,12
01:10:51,26,3,9.0,27
01:11:25,9,44,5.0,17
01:11:59,10,16,5.0,17
01:12:34,30,43,2.0,9
01:13:08,9,6,2.0,8
01:13:42,63,4,2.0,10
01:14:17,40,6,2.0,7
01:14:51,9,43,3.0,12
01:15:25,43,10,2.0,15
01:15:59,17,28,2.0,12
01:16:34,20,29,2.0,6
01:17:08,40,39,3.0,15
01:17:42,44,5,1.0,16
01:18:17,67,14,4.0,14
01:18:51,36,31,2.0,9
01:19:25,1,40,1.0,9
01:19:59,23,15,3.0,8
01:20:34,32,7,4.0,8
01:21:08,25,5,3.0,6
01:21:42,41,36,3.0,9
01:22:17,61,47,2.0,9
01:22:51,62,20,1.0,8
01:23:25,20,48,3.0,5
02:00:00,22,28,32.0,16
02:00:34,45,22,30.0,15
02:01:08,68,42,17.0,14
02:01:42,32,45,22.0,6
02:02:17,56,29,20.0,24
02:02:51,61,44,24.0,4
02:03:25,20,1,10.0,4
02:03:59,33,19,10.0,10
02:04:34,6,9,14.0,25
02:05:08,49,16,14.0,31
02:05:42,8,39,13.0,4
02:06:17,10,16,10.0,22
02:06:51,35,18,10.0,4
02:07:25,26,34,10.0,5
02:07:59,55,15,7.0,18
02:08:34,8,42,9.0,13
02:09:08,36,3,5.0,16
02:09:42,39,21,5.0,14
02:10:17,49,34,8.0,10
02:10:51,34,23,5.0,13
02:11:25,4,45,5.0,9
02:11:59,54,17,7.0,6
02:12:34,19,42,2.0,5
02:13:08,40,44,4.0,16
02:13:42,62,27,1.0,12
02:14:17,12,36,3.0,6
02:14:51,3,32,1.0,6
02:15:25,32,12,1.0,16
02:15:59,50,11,2.0,10
02:16:34,2,4,1.0,14
02:17:08,61,34,3.0,11
02:17:42,4,48,1.0,6
02:18:17,33,22,3.0,17
02:18:51,31,20,3.0,6
02:19:25,11,38,1.0,5
02:19:59,27,10,2.0,15
02:20:34,10,25,2.0,9
02:21:08,23,18,1.0,9
02:21:42,61,24,4.0,12
02:22:17,60,8,2.0,17
02:22:51,66,43,2.0,13
02:23:25,50,45,3.0,16
03:00:00,28,45,28.0,21
03:00:34,21,22,27.0,5
03:01:08,63,42,24.0,21
03:01:42,60,48,24.0,10
03:02:17,48,33,23.0,4
03:02:51,8,15,20.0,31
03:03:25,37,45,14.0,17
03:03:59,35,33,13.0,4
03:04:34,3,39,12.0,9
03:05:08,32,21,10.0,8
03:05:42,60,16,13.0,8
03:06:17,69,4,13.0,4
03:06:51,49,14,14.0,7
03:07:25,17,28,11.0,17
03:07:59,57,31,8.0,13
03:08:34,30,31,9.0,14
03:09:08,23,11,8.0,4
03:09:42,18,47,9.0,5
03:10:17,67,36,7.0,5
03:10:51,59,12,7.0,7
03:11:25,33,33,9.0,4
03:11:59,8,36,5.0,14
03:12:34,23,37,3.0,13
03:13:08,27,32,2.0,19
03:13:42,48,47,4.0,12
03:14:17,10,6,2.0,13
03:14:51,30,43,4.0,6
03:15:25,37,42,3.0,16
03:15:59,54,41,4.0,15
03:16:34,11,13,1.0,7
03:17:08,15,27,4.0,11
03:17:42,66,36,1.0,14
03:18:17,60,25,1.0,6
03:18:51,34,18,2.0,15
03:19:25,10,47,1.0,5
03:19:59,1,23,3.0,9
03:20:34,44,4,3.0,17
03:21:08,42,26,1.0,5
03:21:42,59,48,4.0,15
03:22:17,21,27,2.0,12
03:22:51,18,28,3.0,16
03:23:25,65,41,1.0,16
04:00:00,45,46,28.0,12
04:00:34,69,20,28.0,10
04:01:08,67,6,18.0,9
04:01:42,29,11,19.0,6
04:02:17,66,25,15.0,11
04:02:51,68,3,17.0,15
04:03:25,54,14,10.0,33
04:03:59,24,32,10.0,16
04:04:34,2,8,12.0,4
04:05:08,10,4,10.0,4
04:05:42,67,46,11.0,16
04:06:17,51,17,12.0,4
04:06:51,22,37,11.0,20
04:07:25,49,46,14.0,14
04:07:59,56,11,5.0,9
04:08:34,52,8,6.0,16
04:09:08,24,28,7.0,15
04:09:42,24,9,9.0,15
04:10:17,68,20,7.0,11
04:10:51,64,23,7.0,23
04:11:25,43,6,5.0,20
04:11:59,19,4,7.0,7
04:12:34,5,7,1.0,10
04:13:08,43,21,1.0,35
04:13:42,25,23,2.0,13
04:14:17,2,18,4.0,4
04:14:51,8,36,4.0,32
04:15:25,34,27,1.0,14
04:15:59,13,33,4.0,7
04:16:34,20,28,1.0,12
04:17:08,18,39,3.0,8
04:17:42,44,30,4.0,9
04:18:17,59,16,4.0,16
04:18:51,65,27,2.0,8
04:19:25,16,17,4.0,10
04:19:59,10,19,2.0,11
04:20:34,56,21,2.0,13
04:21:08,39,11,3.0,12
04:21:42,62,11,1.0,15
